25.0;8;22/11/1995
27.5;8;23/11/1995
27.5;9;24/11/1995
28.2;9;25/11/1995
29.3;9;26/11/1995
27.2;8;27/11/1995
26.0;8;28/11/1995
28.8;10;29/11/1995
27.4;10;30/11/1995
25.6;11;1/12/1995
17.6;11;2/12/1995
20.3;12;3/12/1995
20.9;9;4/12/1995
18.2;11;5/12/1995
19.3;11;6/12/1995
18.1;11;7/12/1995
20.0;10;8/12/1995
17.0;11;9/12/1995
17.4;12;10/12/1995
20.0;12;11/12/1995
19.1;9;12/12/1995
18.8;10;13/12/1995
19.9;11;14/12/1995
16.8;10;15/12/1995
16.1;10;16/12/1995
20.9;10;17/12/1995
18.7;10;18/12/1995
21.0;10;19/12/1995
20.0;11;20/12/1995
17.4;12;21/12/1995
17.3;12;22/12/1995
17.1;11;23/12/1995
18.7;10;24/12/1995
18.3;10;25/12/1995
18.1;12;26/12/1995
19.7;10;27/12/1995
16.7;11;28/12/1995
19.4;11;29/12/1995
16.6;12;30/12/1995
18.4;12;31/12/1995
